#lat lon   β0      A1     d1     A2     d2
86 280.0 2.8601 -1.0848  32.1 -0.2120  65.4
86 282.5 2.8495 -1.0880  31.5 -0.2178  66.4
86 285.0 2.8413 -1.0919  31.0 -0.2223  67.6
86 287.5 2.8328 -1.0967  30.4 -0.2260  68.7
86 290.0 2.8320 -1.0967  29.9 -0.2293  69.9
86 292.5 2.8313 -1.0976  29.5 -0.2326  71.3
86 295.0 2.8311 -1.0974  29.0 -0.2358  72.5
86 297.5 2.8299 -1.0925  28.6 -0.2393 256.0
86 300.0 2.8285 -1.0901  28.2 0.2431 -199.7
86 302.5 2.8255 -1.0923  27.9 0.2466 -16.1
86 305.0 2.8255 -1.0909  27.7 0.2504 -15.3
86 307.5 2.8246 -1.0857  27.5 0.2547 -14.7
86 310.0 2.8247 -1.0832  27.3 0.2579 -14.2
86 312.5 2.8275 -1.0793  27.2 0.2595 -13.8
86 315.0 2.8254 -1.0737  27.1 0.2628 -13.7
86 317.5 2.8178 -1.0695  27.0 0.2671 -13.8
86 320.0 2.8088 -1.0660  26.8 0.2720 -14.2
86 322.5 2.8109 -1.0557  26.8 0.2755 -14.6
86 325.0 2.8168 -1.0427  26.9 0.2775 -15.1
86 327.5 2.8279 -1.0274  27.1 0.2773 -15.5
86 330.0 2.8452 -1.0106  27.3 0.2767 -16.0
86 332.5 2.8653 -0.9921  27.5 0.2754 -16.4
86 335.0 2.8878 -0.9712  27.9 0.2726 -16.7
86 337.5 2.9070 -0.9516  28.2 0.2697 -199.8
86 340.0 2.9178 -0.9352  28.2 -0.2686  73.2
86 342.5 2.9275 -0.9144  28.4 -0.2677  72.0
86 345.0 2.9385 -0.8937  28.7 -0.2678  71.0
86 347.5 2.9574 -0.8748  29.0 -0.2659  70.5
86 350.0 2.9763 -0.8514  29.3 -0.2623  69.8
86 352.5 3.0019 -0.8219  29.9 -0.2575  69.4
86 355.0 3.0336 -0.8014  30.4 -0.2518  69.2
86 357.5 3.0535 -0.7671  30.2 -0.2495  68.6
84   0.0 3.1284 -0.6632  31.3 0.2520 -15.9
84   2.5 3.1664 -0.6188  32.1 0.2391 -199.6
84   5.0 3.1986 -0.5857  33.3 -0.2241  72.2
84   7.5 3.2106 -0.5568  34.0 -0.2256  71.0
84  10.0 3.2130 -0.5341  34.5 -0.2206  70.0
84  12.5 3.2652 -0.5026  37.0 -0.2106  69.6
84  15.0 3.3044 -0.4813  39.4 -0.1940  68.6
84  17.5 3.3447 -0.4439  42.3 -0.1959  66.9
84  20.0 3.3683 -0.4341  44.8 -0.1888  64.9
84  22.5 3.3797 -0.4245  46.0 -0.1872  65.4
84  25.0 3.3746 -0.4042  47.4 -0.2021  64.8
84  27.5 3.3916 -0.3913  48.4 -0.2065  63.6
84  30.0 3.4059 -0.3859  48.3 -0.2131  60.7
84  32.5 3.4373 -0.3584  50.8 -0.2212  58.3
84  35.0 3.4456 -0.3625  47.1 -0.2101  55.8
84  37.5 3.4579 -0.3527  51.3 -0.2239  54.9
